idnew	idold	status	use	NLRs	majorclass	majorsubclass	pairs	putpairs	IDs	paralogs_ogold
45.1	45	orthogroup	1	17	TNL	T	0	0	0	complex
57.1	57	orthogroup	1	60	TNL	TNL	1	1	16	none
102.3	102	orthogroup	1	5	TNL	TN	0	0	0	none
221.2	221	orthogroup	1	15	TNL	TNL	0	0	0	complex
1.5	1	orthogroup	1	11	TNL	TNL	0	0	0	both
94.1	94	orthogroup	1	55	NL	NLX	54	0	55	none
88.1	88	orthogroup	1	54	TNL	TNL	22	1	0	none
7.13	7	orthogroup	1	4	CNL	CNL	0	0	0	complex
176.5	176	orthogroup	1	5	TNL	TNL	0	0	0	both
155.1	155	orthogroup	1	42	TNL	TNL	0	0	0	none
14.7	14	orthogroup	1	4	CNL	CN	0	0	0	complex
310.1	310	orthogroup	1	5	TNL	T	2	1	0	none
309.1	309	orthogroup	1	5	CNL	CN	0	0	0	none
151.4	151	orthogroup	1	10	RNL	R	0	0	0	both
137.1	137	orthogroup	1	50	TNL	TNL	0	0	0	none
